run_id,mode,n_tasks,n_agents,repeat_id,submit_min,end_max,overhead_p50_ms,overhead_p95_ms,cpu_avg_pct,gpu_avg_pct,recovery_time_mean_s,failed_tasks,tts_s
ray_A2_T20_R2_1771580036_bdec2c,ray,20,2,2,5785.393086158,5787.176944399,1315.4270000000001,1761.1061,4.028,0.0,0.0,0,1.783858240999507
ray_A2_T20_R3_1771580038_c69b76,ray,20,2,3,5788.385764401,5789.96885421,1182.249,1569.1854,4.028,0.0,0.0,0,1.58308980899983
ray_A2_T20_R4_1771580041_8f8a2d,ray,20,2,4,5790.904656165,5791.67038653,704.0015000000001,750.7488500000001,4.028,0.0,0.0,0,0.7657303649993992
ray_A2_T20_R5_1771580043_541e7f,ray,20,2,5,5792.693080996,5794.147181939,1062.489,1422.4297000000001,3.649,0.0,0.0,0,1.4541009429995029
ray_A2_T50_R1_1771580045_26aeb6,ray,50,2,1,5795.293528466,5797.158294359,1389.8175,1830.09275,3.614,0.0,0.0,0,1.8647658930003672
ray_A2_T50_R2_1771580049_ecc67b,ray,50,2,2,5798.504840822,5799.635918511,934.9455,1091.3517,7.068,0.0,0.0,0,1.131077689000449
ray_A2_T50_R3_1771580051_6d9fbe,ray,50,2,3,5800.786368551,5802.694119057,1420.0735,1878.6308999999999,7.068,0.0,0.0,0,1.907750505999502
ray_A2_T50_R4_1771580054_ec9ca6,ray,50,2,4,5803.989640303,5805.021876981,878.153,994.4490999999999,7.068,0.0,0.0,0,1.0322366780001175
ray_A2_T50_R5_1771580056_00f8f1,ray,50,2,5,5806.19427652,5807.95302881,1279.989,1717.3712,7.068,0.0,0.0,0,1.7587522900003023
ray_A2_T100_R1_1771580060_1ff441,ray,100,2,1,5809.288484769,5811.488104156,1656.441,2149.97775,7.068,0.0,0.0,0,2.1996193869999843
ray_A2_T100_R2_1771580063_0c4d4b,ray,100,2,2,5812.892289562,5815.144858304,1719.4445,2188.6038,7.068,0.0,0.0,0,2.2525687420002214
ray_A2_T100_R3_1771580067_b66d47,ray,100,2,3,5816.489850751,5818.769007611,1675.7075,2214.49675,7.068,0.0,0.0,0,2.279156860000512
ray_A2_T100_R4_1771580070_33b241,ray,100,2,4,5820.189640432,5821.36117134,896.2874999999999,1123.2784,7.068,0.0,0.0,0,1.1715309080000225
ray_A2_T100_R5_1771580073_6a2b6b,ray,100,2,5,5822.782763107,5825.084235488,1645.039,2245.7475,7.068,0.0,0.0,0,2.3014723809992574
ray_A2_T200_R1_1771580077_ef84ed,ray,200,2,1,5826.984220959,5828.938053733,1239.4054999999998,1806.7809,7.068,0.0,0.00629793119,0,1.9538327740001478
ray_A2_T200_R2_1771580081_40eece,ray,200,2,2,5830.783348892,5834.188706893,2320.2754999999997,3278.2715,7.068,0.0,0.0094560014,0,3.4053580010004225
ray_A2_T200_R3_1771580086_d3204c,ray,200,2,3,5835.896602933,5839.387563594,2408.349,3362.8019499999996,7.068,0.0,0.01058233424,0,3.4909606609999173
ray_A2_T200_R4_1771580091_38b12c,ray,200,2,4,5841.190585923,5844.805767649,2370.916,3488.1068499999997,7.068,0.0,0.011556118584999999,0,3.6151817259997188
ray_A2_T200_R5_1771580097_0c52fa,ray,200,2,5,5846.376121699,5848.156201117,1173.056,1599.6241499999999,6.539,0.0,0.00555495439,0,1.7800794180002413
ray_A2_T500_R1_1771580101_bb5251,ray,500,2,1,5851.285285975,5858.865010019,4265.2294999999995,7260.7393999999995,13.857,0.0,0.013018825401999999,0,7.579724043999704
ray_A2_T500_R2_1771580112_1e7bb2,ray,500,2,2,5862.089106378,5865.761569146,2053.3455000000004,3414.6526499999995,13.857,0.0,0.006031620628,0,3.6724627679996047
ray_A2_T500_R3_1771580119_d88cef,ray,500,2,3,5868.888266237,5872.429729949,2073.5879999999997,3309.7576999999997,13.857,0.0,0.0057188260460000005,0,3.5414637120002226
ray_A2_T500_R4_1771580126_b60a17,ray,500,2,4,5875.584909607,5883.559499716,4611.7635,7633.13085,13.857,0.0,0.013232374594,0,7.974590109000019
ray_A2_T500_R5_1771580137_dfc634,ray,500,2,5,5886.597621264,5894.486853582,4629.4145,7488.214999999999,13.857,0.0,0.012913021112,0,7.889232317999813
ray_A2_T1000_R1_1771580150_ab6571,ray,1000,2,1,5899.696603863,5915.134245724,8346.0285,14630.033349999998,13.988,0.0,0.014297058617,0,15.437641860999975
ray_A2_T1000_R2_1771580171_8e732c,ray,1000,2,2,5920.490701792,5927.753098637,3794.7005,6772.9857,20.891,0.0,0.0065485951179999995,0,7.262396844999785
ray_A2_T1000_R3_1771580183_9d6e27,ray,1000,2,3,5932.989949151,5940.165977902,3846.541,6670.7842,20.891,0.0,0.006317962283,0,7.176028751000558
ray_A2_T1000_R4_1771580196_b93de8,ray,1000,2,4,5945.39199676,5960.574847409,8183.492,14504.328349999998,20.891,0.0,0.013754685453000001,0,15.182850648999192
ray_A2_T1000_R5_1771580216_eee31a,ray,1000,2,5,5965.895059606,5972.936066319,3810.598,6549.744699999999,22.235,0.0,0.006430156995,0,7.0410067129996605
