n_tasks,tts_baseline_s,tts_ray_s,ray_agents,speedup,efficiency
10,0.03486234699994384,1.5340989259993876,2.0,0.022724966694851696,0.011362483347425848
20,0.08736731899989536,1.4541009429995029,2.0,0.06008339339886201,0.030041696699431006
50,0.21116032200006885,1.7587522900003023,2.0,0.12006257117654275,0.06003128558827137
100,0.41277200799959246,2.2525687420002214,2.0,0.18324502169601353,0.09162251084800677
200,0.818565636999665,3.4053580010004225,2.0,0.24037579507328968,0.12018789753664484
500,2.1052769799998714,7.579724043999704,2.0,0.27775113813892216,0.13887556906946108
1000,4.234512452999297,7.262396844999785,2.0,0.5830736798574689,0.29153683992873447
